Aviso — Início: 0, Fim: 1
A Decisão Errada — Início: 0, Fim: 1
Incorporação — Início: 1, Fim: 2
Internato — Início: 2, Fim: 3
Plantão — Início: 3, Fim: 4
A Mensagem — Início: 4, Fim: 5
A Dor do Luto — Início: 5, Fim: 6
Bergmann — Início: 5, Fim: 6
Campo — Início: 6, Fim: 7
Cover de Azevedo — Início: 6, Fim: 7
Azevedo — Início: 6, Fim: 7
Seções — Início: 7, Fim: 8
Isaias — Início: 7, Fim: 8
A Alteração — Acidente — Início: 8, Fim: 9
A Alteração — Início: 8, Fim: 9
O 2º Quarto de Hora — Início: 9, Fim: 10
Capisani — Início: 10, Fim: 11
A Expulsão — Início: 11, Fim: 12
Soares — Início: 12, Fim: 13
A Sindicância — Início: 13, Fim: 14
Último Episódio da Temporada 1 — Início: 14, Fim: 15
A Fita de Lemos — Início: 15, Fim: 16
Entrevista no Stok Center — Início: 16, Fim: 17
Policiais Corruptos — Início: 17, Fim: 18
Uma Ameaça para Thales — Início: 18, Fim: 19
Murcof — Reflejo — Início: 20, Fim: 21
Massiveattack — Red Light Means Go — Início: 20, Fim: 21
Max Richter — Organum — Início: 20, Fim: 21
ABBA — I Have A Dream — Início: 20, Fim: 21
N.E.R.D — Lapdance ft Lee Harvey, Vita — Início: 20, Fim: 21
Jessica Brown Findlay — Anyone Who Knows What Love Is — Início: 20, Fim: 21
Bing Abi by Stephen McKeon — Início: 20, Fim: 21
15 Million Merits — Stephen McKeon — Início: 20, Fim: 21
Messa da Requiem Dies Irae by Londom Philharmonic — Início: 20, Fim: 21
The Entire History Of You — Stuart Earl — Início: 20, Fim: 21
Yvonne Elliman — If I Can't Have You — Início: 20, Fim: 21
Heatwave — Boogie Nights — Início: 20, Fim: 21
Bee Gees — How Deep Is Your Love — Início: 20, Fim: 21
Jump — Vince Pope — Início: 20, Fim: 21
Alone — Vince Pope — Início: 20, Fim: 21
A New Home — Vince Pope — Início: 20, Fim: 21
Farmer Boy — Vince Pope — Início: 20, Fim: 21
Break My Heart — Vince Pope — Início: 20, Fim: 21
Starting Over — Vince Pope — Início: 20, Fim: 21
I Need You — Vince Pope — Início: 20, Fim: 21
Jon Opstad — Waking Up — Início: 20, Fim: 21
Jon Opstad — Masked Gunman — Início: 20, Fim: 21
Jon Opstad — I Saw It — Início: 20, Fim: 21
Jon Opstad — What's Your Problem? — Início: 20, Fim: 21

Hannah Baker Fita 1 Lado A — Início: 22, Fim: 23
Hannah Baker Fita 1 Lado B — Início: 22, Fim: 23
Hannah Baker Fita 2 Lado A — Início: 22, Fim: 23
Hannah Baker Fita 2 Lado B — Início: 22, Fim: 23
Hannah Baker Fita 3 Lado A — Início: 22, Fim: 23
Hannah Baker Fita 3 Lado B — Início: 22, Fim: 23
Hannah Baker Fita 4 Lado A — Início: 22, Fim: 23
Hannah Baker Fita 4 Lado B — Início: 22, Fim: 23
Hannah Baker Fita 5 Lado A — Início: 22, Fim: 23
Hannah Baker Fita 5 Lado B — Início: 22, Fim: 23
Hannah Baker Fita 6 Lado A — Início: 22, Fim: 23
Hannah Baker Fita 6 Lado B — Início: 22, Fim: 23
Laura Branigan — Self Control — Início: 23, Fim: 24
Leningrad — Voyage — Início: 23, Fim: 24
Hungria — Zorro do Asfalto — Início: 23, Fim: 24
Tonight You Belong To Me — Início: 23, Fim: 24
